No.,Nombre,Tipo de producto,Marca,Precio,Tipo de Calzado,Descripción
1,Converse Chuck Taylor All Star Classic,Solo,Converse," $1,019 ",Casual Sneakers,"Un clásico atemporal, perfecto para un estilo informal y versátil."
2,Puma Ignite XT Running,Solo,Puma," $1,528 ",Running Shoes,"Diseñados para una carrera cómoda y energética, con una excelente amortiguación."
3,Nike Air Zoom Structure 24,Solo,Nike," $2,038 ",Running Shoes,Ofrecen estabilidad y soporte para una pisada suave y controlada en cada paso.
4,Adidas Ultraboost Uncaged,Solo,Adidas," $2,547 ",Running Shoes,"Combina estilo y rendimiento, con una parte superior sin costuras y una amortiguación reactiva."
5,Vans Old Skool Checkerboard,Solo,Vans," $1,189 ",Skate Shoes,"El estilo clásico de Vans con un patrón de tablero de ajedrez icónico, perfecto para el skate."
6,Puma Clyde Court,Solo,Puma," $1,868 ",Basketball Shoes,"Inspirados en el legado del baloncestista Walt ""Clyde"" Frazier, ofrecen rendimiento y estilo en la cancha."
7,Nike Air Zoom Pegasus 38,Solo,Nike," $2,038 ",Running Shoes,"La última versión de la serie Pegasus, con una amortiguación suave y una sensación de velocidad."
8,Adidas NMD R1,Solo,Adidas," $2,207 ",Casual Sneakers,Estilo urbano y comodidad sin igual con la tecnología Boost y un diseño futurista.
9,Vans Slip-On Pro,Solo,Vans," $1,104 ",Skate Shoes,Versión mejorada del Slip-On con mayor durabilidad y suela UltraCush HD para comodidad.
10,Converse Jack Purcell Canvas,Solo,Converse," $1,104 ",Casual Sneakers,Un diseño elegante con la icónica puntera de goma y suela de tracción.
11,Nike Air Force 1,Solo,Nike," $1,528 ",Casual Sneakers,Un icono de la cultura sneaker con suela Air y un estilo versátil que nunca pasa de moda.
12,Adidas Superstar,Solo,Adidas," $1,358 ",Casual Sneakers,"Un ícono de la moda urbana, con la clásica puntera de concha y las 3 Rayas icónicas de Adidas."
13,Vans Authentic,Solo,Vans, $934 ,Casual Sneakers,"Auténticos y versátiles, perfectos para un estilo informal y relajado."
14,Puma RS-X,Solo,Puma," $1,698 ",Casual Sneakers,Diseño retro con una mezcla de colores llamativa y tecnología de amortiguación avanzada.
15,Nike React Infinity Run Flyknit,Solo,Nike," $2,547 ",Running Shoes,"Diseñados para la comodidad y la prevención de lesiones, con una amortiguación suave y estable."
16,Adidas Stan Smith,Solo,Adidas," $1,274 ",Casual Sneakers,Elegancia minimalista con el clásico diseño de Stan Smith y detalles en contraste.
17,Vans Sk8-Hi,Solo,Vans," $1,274 ",Skate Shoes,Un clásico del skateboarding con cuello acolchado y durabilidad para las sesiones en la tabla.
18,Converse One Star,Solo,Converse," $1,189 ",Casual Sneakers,Estilo desenfadado con el distintivo logo de la estrella y una suela cómoda.
19,Nike Zoom Freak 3,Solo,Nike," $2,377 ",Basketball Shoes,"Diseñados para el jugador Giannis Antetokounmpo, con soporte y tracción para movimientos explosivos."
20,Adidas Continental 80,Solo,Adidas," $1,358 ",Casual Sneakers,Estilo retro de los años 80 con una suela dividida y detalles de ventana lateral.
21,Vans Era,Solo,Vans," $1,019 ",Skate Shoes,Diseño clásico con detalles de doble costura y suela vulcanizada para mayor durabilidad.
22,Nike KD Trey 5 VIII,Solo,Nike," $1,868 ",Basketball Shoes,"Diseñados para el jugador Kevin Durant, con tracción multidireccional y soporte ligero."
23,Puma Cali,Solo,Puma," $1,613 ",Casual Sneakers,Estilo inspirado en la costa oeste con una silueta retro y detalles llamativos.
24,Adidas ZX Flux,Solo,Adidas," $1,528 ",Casual Sneakers,Estilo minimalista con una parte superior de malla transpirable y detalles de estilo retro.
25,Vans Sk8-Mid,Solo,Vans," $1,189 ",Skate Shoes,Versión intermedia del Sk8-Hi con un perfil más bajo y el mismo estilo skateboarding.
